"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"121","Official Face To Face Project of Candidate Videos for Voter Educ","84-3073058","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.theofficialfacetofaceprojectofcampaignvideosforvotereducation.com/","Purpose: is to educate the voter by giving them a one stop shop to all their candidates on their ballot. Voters can view the videos at their leisure before they go vote, write down who they want to vote for on their sample ballots or a piece of paper and bring it into the polls. Or just put the selections on their Mail In Ballots.  It is allowed.",NA,NA,"230 Whispering Valley Dr","Wimberley","TX","78676","democraticfacetofaceprojec@gmail.com",NA,"State - single","Education,Dialogue,Online Video","Voter Engagement",NA,NA,NA,NA,"Civic Forums for Discussion of Public Issues,Voter Engagement/Registration/Education",NA,NA,NA,NA,29.9976807,-98.0987896
"122","Open Arms Advocacy Center","75-2398422","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://openarmscv.com/","To create social change within the Concho Valley, by providing prevention, education, advocacy, and a safe place to foster healing for survivors of sexual violence and gender discrimination. We envision a community that stands together against sexual violence and all forms of discrimination.",NA,"D’Lyn Culp","113 N Harrison St","San Angelo","TX","76901","info@openarmscv.org","(325) 655-2000","Community/Local - single","Advocacy,Education,Service and Volunteerism","Organizing & Advocacy",NA,NA,NA,NA,"Healing Justice,Public Health",NA,NA,NA,NA,31.4649685,-100.4405094
"123","Operation Brown Bag","83-0969462","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/profile.php?id=100064505870436","Operation Brown Bag is a 501(c)3 charitable organization serving the underserved in Nolan, Callahan and Taylor County",NA,NA,"341 County Road 150","Tuscola","TX","79562","operationbrownbag1@yahoo.com","(325) 280-2992","Community/Local - multiple","Service and Volunteerism,Food Justice and Access,Crowdfunding","Service & Volunteerism",NA,NA,NA,NA,"Community Engagement and Community Building,Service & Volunteerism",NA,NA,NA,NA,32.2079942,-99.7961319
"124","Organizers Institute South and West IAF","81-1555941","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.organizersinstitute.com/","The Organizers Institute exists to strengthen organizing and develop organizers in the South & West region of the Industrial Areas Foundation.",NA,NA,"704 E Wonsley Dr Ste 200","Austin","TX","78753",NA,NA,"Community/Local - multiple","Education,Leadership Training","Civic Education / Learning",NA,NA,NA,NA,"Leadership Development for Healthy Democracy,Community Organizing",NA,NA,NA,NA,30.2711286,-97.7436995
"125","Planned Parenthood Gulf Coast","74-1100163","501(c)(3)",NA,"Practitioner Organization","Chapter",NA,"https://www.plannedparenthood.org/planned-parenthood-gulf-coast","OUR MISSION:  The mission of Planned Parenthood Gulf Coast, Inc. is to ensure the right and ability of all individuals to manage their sexual and reproductive health by providing health services, education, and advocacy.    

OUR VISION:  Planned Parenthood seeks a world in which all children are wanted and cared for, all individuals have equal rights and dignity, sexuality is expressed with honesty, equality, and responsibility, and the decision to bear children is private and voluntary.   

OUR COMMITMENT: Care.  No Matter What.",NA,NA,"4600 Gulf Fwy","Houston","TX","77023","information@ppgulfcoast.org","(713) 522-6363","""State - multiple, not region-specific"",""Regional (e.g. Midwest, South)""","Education,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Public Health,Civil and Political Rights",NA,NA,NA,NA,29.7589382,-95.3676974
"126","Point of View Ministries","75-1751385","501(c)(3)",NA,"Practitioner Organization","Journalism/Media",NA,"https://pointofview.net/","As a media ministry, we use the powerful tool of live, daily, national talk radio and the latest digital technology to provide biblical clarity, truth, and content to restore a Christian biblical worldview to the culture.",NA,"Warren Kelley","9330 Lyndon B Johnson Fwy Ste 1050","Dallas","TX","75243","pov@pointofview.net","(800) 227-1444","National","Podcasts/Radio,Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism","Listen First Coalition",NA,NA,NA,32.7762719,-96.7968559
"127","Police Foundation - Arlington TX","73-1662006","501(c)(3)",NA,"Practitioner Organization,Funder",NA,NA,"https://arlingtonpolicefoundation.org/","The Arlington Police Foundation supports and supplements the efforts of the Arlington, Texas Police Department through officer resources, youth programs, recognition of outstanding service and scholarships. By funding equipment and programs that might be unfunded by the city budget, The Arlington Police Foundation allows our officers to focus on what is important in our community: crime prevention and the safety of our constituents.",NA,"Bethany Tinderholt","PO Box 2318","Arlington","TX","76004","bethany@arlingtonpolicefoundation.org","(682) 777-3253","Community/Local - single","Funding,Youth Engagement","Civic Associations","Community Foundation",NA,"tag for public safety/security; 

tagged/resolved 05/02",NA,"Civic Infrastructure Development,Community Engagement and Community Building,Safety and Security",NA,NA,NA,NA,32.7355816,-97.1071186
"128","PoliChic Engagement Fund","84-5178945","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.polichic.com/","The PoliChic Engagement Fund, otherwise known as PoliChic Texas, is a nonpartisan 501(c)(3) organization working to engage Texas women in elections and issue advocacy. Founded in 2019, PoliChic Texas has volunteers actively engaged to remind hard-to-count households to complete their Census, educate voters eligible for mail-in voting, and registered voters about the upcoming runoff elections. Our volunteers consist of women from various ethnic, socioeconomic, and career backgrounds.

Our model is built around creating hyperlocal civic clubs, managed by women leading in their own community and engaging with volunteers. Volunteers are often friends, their teenage children, boyfriends, girlfriends, wives, husbands -- whomever they define as their community. The goal is to educate and train women through their real-life experiences about how to have the communities and representation they desire. We do this by getting them engaged.

PoliChic envisions a world where Texas women work together to lead voter engagement, education, and policy engagement in hyperlocal civic (engagement) clubs. We seek to establish a PoliChic-led civic engagement club in every Texas community.",NA,NA,"600 Congress Ave Fl 14","Austin","TX","78701",NA,NA,"State - single,Community/Local - multiple","Education,Community-Building / Networking,Service and Volunteerism","Civic Associations",NA,NA,NA,NA,"Civic Forums for Discussion of Public Issues,Community Engagement and Community Building,Voter Engagement/Registration/Education","MVP",NA,NA,NA,30.2711286,-97.7436995
"129","Pride Frisco","87-3465923","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.pridefrisco.org/","Established in 2021, Pride Frisco is the first and only nonprofit LGBTQ-resource center in Frisco, Texas. We provide year-round support through social and educational programming, professional resources, scholarships, and strategic collaborations.

Guided by a commitment to sustainability and an intersectional approach, our strategic vision is to establish a Pride Center: a brick-and-mortar hub addressing the unmet need for a safe space offering year-round, life-affirming resources for the LGBTQIA+ community of Frisco and North Texas.",NA,NA,"5570 FM 423 Ste 250 # 2109","Frisco","TX","75036","contact@pridefrisco.org","(972) 665-6452","Community/Local - single","Mental Health,Community-Building / Networking,Communications,Food Justice and Access,Education","Civic Associations",NA,NA,NA,NA,"Community Engagement and Community Building,Diversity & Inclusion",NA,NA,NA,NA,33.1505998,-96.8238183
"130","Progress Texas","80-0687741","501(c)(4)",NA,"Practitioner Organization","Journalism/Media",NA,"https://progresstexas.org/","Progress Texas is a rapid response media organization promoting progressive messages and actions. While campaigns come and go, we’re the permanent home for progressive media and action in our state.",NA,"Kathleen Thompson","PO Box 162922","Austin","TX","78716","social@progresstexas.org","(512) 814-6252","State - single","Podcasts/Radio,Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism",NA,NA,NA,NA,30.2711286,-97.7436995
"131","Progress Texas Institute","61-1639490","501(c)(3)",NA,"Practitioner Organization","Journalism/Media",NA,"https://progresstexas.org/","The Progress Texas Institute provides research and strategic communications on issues with the ultimate goal of increasing civic engagement.",NA,"Kathleen Thompson","PO BOX 162922","AUSTIN","TX","78716","social@progresstexas.org","(512) 814-6252","""State - multiple, not region-specific""","Podcasts/Radio,Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism",NA,NA,NA,NA,30.2711286,-97.7436995
"132","Projecttxred","82-2476513","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.projectredtx.com/","#ProjectRedTX was founded in 2018 as a focused effort to recruit and support candidates at the local level. Numerous Texas counties that historically voted for Democrats saw Republican victories at the top of the ticket that year, yet few Republicans were elected locally. In many of these cases, no Republican candidates had even filed.

Today, #ProjectRedTX supports and highlights a robust network of candidates who are running for county-level offices. These positions represent hands-on officials who have the opportunity to make a difference in the everyday lives of their friends, neighbors, and local communities.",NA,"Wayne Hamilton","815 Brazos St Ste 500a","Austin","TX","78701","info@projectredtx.com",NA,"State - single","Leadership Training","Civic Education / Learning",NA,NA,NA,NA,"Leadership Development for Healthy Democracy,Network-Building",NA,NA,NA,NA,30.2711286,-97.7436995
"133","Prosper Georgetown","84-3331305","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://5m3.5a7.myftpupload.com/","Harness the power of a living wage to drive prosperity for workers, local businesses, and the overall economy of Georgetown.",NA,NA,"PO BOX 261","GEORGETOWN","TX","78627",NA,NA,"Community/Local - single","Education,Advocacy,Economic Development,Cross-sector collaboration,Community-Building / Networking","Organizing & Advocacy",NA,NA,NA,NA,"Economic Advocacy/Justice/Reform,Community Engagement and Community Building",NA,NA,NA,NA,30.6370152,-97.6775634
"134","Proyecto Vida Digna","47-1225826","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.proyectovidadigna.org/","Proyecto Vida Digna (PVD) is a local nonprofit that builds the power of undocumented migrants and their families. Our mission is to make life better for the low-income families in South Texas. We help families gain new skills, share their voice, and grow their power.",NA,NA,"900 E US Highway 77","San Benito","TX","78586","proyectovidadigna98@gmail.com","(956) 626-1628","Community/Local - single","Advocacy,Education,Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Immigrant Integration",NA,NA,NA,NA,26.1326237,-97.630791
"135","Public Affairs Luncheon Club","75-1769715","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://dpalc.com/","The organization’s mission is to maintain an educational and non partisan organization to encourage members to take a thoughtful, informed and active interest in the affairs and functions of government; to conduct regular meetings for the purpose of study, discussion and comment on current events in the light of history, science and experience; to provide members lectures by eminent and outstanding professional and business authorities on subjects of current importance and interest as well as historical, scientific and economic background.",NA,"Tina Peterson","PO BOX 19626","DALLAS","TX","75225","president@dpalc.com","(469) 544-3222","Community/Local - single","Education,Dialogue,Community-Building / Networking","Civic Education / Learning",NA,NA,NA,NA,"Civic Education",NA,NA,NA,NA,32.7762719,-96.7968559
"136","Radical Registrars","86-2386316","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://radicalregistrars.org/","Our mission is to empower, engage, and educate voters through civic education and voter mobilization across central Texas.",NA,"Valerie Reiffert","3846 River Fls","San Antonio","TX","78259","info@radicalregistrars.org",NA,"State - single","Education,Service and Volunteerism","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,29.4246002,-98.4951405
"137","Ranked Choice Voting for Texas","84-3768772","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.rcvfortexas.org/","Promote the adoption of Ranked Choice Voting (RCV) for local, state, and federal primaries and elections in Texas.",NA,"Harriet Wasserstrum","P.O. Box 271101","Houston","TX","77277-1101",NA,"(832) 524-6714","State - single","Lobbying,Advocacy,Education","Electoral Reform",NA,NA,NA,NA,"Electoral Reform","Citizen Connect",NA,NA,NA,29.7589382,-95.3676974
"138","Reform Austin","82-4329726","501(c)(4)",NA,"Practitioner Organization","Journalism/Media",NA,"https://www.reformaustin.org/","RA News is dedicated to increasing transparency regarding the use of public money and the policies that shape everyday life in Texas. We provide independent reporting for a better Texas",NA,"Nick Anderson","2727 Allen Pkwy Ste 1300","Houston","TX","77019","hello@reformaustin.org",NA,"State - single,Online only","Journalism,Print and Digital Publication","Civic Media",NA,NA,NA,NA,"Civic Journalism,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,29.7589382,-95.3676974
"139","Republicans United for Texas","82-2397168","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://ru4tx.org/","1. To educate and raise awareness of Republican values and policies by promoting events and programs to develop a greater sense of community for fellow members.
2. To support education and outreach to the younger generation through scholarship opportunities as well as other viable means that increase knowledge about Republican ideals and values.
3. To educate members about the political process and teach efficient techniques that empower their efforts encouraging like-minded voters to get out and vote during all stages of the election process.
4. To promote interactions between the community and elected officials.
5. To promote cooperation understanding between all Republicans by promoting a civil discourse on issues of vital interest to members at meetings and through various forums.",NA,NA,"PO Box 952","Caldwell","TX","77836",NA,NA,"State - single","Youth Engagement,Education","Civic Education / Learning",NA,NA,NA,NA,"Patriotic Values,Youth Engagement and Leadership,Responsive Governance",NA,NA,NA,NA,30.5305813,-96.6969703
"140","Richardson Citizen Fire Academy Alumni Association","75-2884604","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.cor.net/departments/fire-department/citizen-s-fire-academy-alumni-association","The mission of the Richardson Citizen Fire Academy Alumni Association (RCFAAA) is to function in an auxiliary capacity to assist, promote, and support the Richardson Fire Department through service, education and recognition.",NA,NA,"300 N Greenville Ave","Richardson","TX","75081","fmo@cor.gov",NA,"Community/Local - single","Funding,Service and Volunteerism,Education","Civic Associations",NA,NA,"tag for public safety/security

tagged/resolved 05/02",NA,"Civic Infrastructure Development,Safety and Security",NA,NA,NA,NA,32.9481789,-96.7297206
"141","Riverside Nature Center Association","74-2538984","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://riversidenaturecenter.org/","Advancing the stewardship of our natural environment.",NA,NA,"150 Francisco Lemos St S","Kerrville","TX","78028",NA,"(830) 257-4837","Community/Local - single","Membership,Service and Volunteerism,Education","Civic Associations",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,30.048469,-99.1399464
"142","Round Rock Police Foundation","47-4055770","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://roundrockpolicefoundation.org/","The mission of the Round Rock Police Foundation is to strengthen engagement between RRPD and the community to improve public safety and promote a higher quality of life for all Round Rock residents and visitors. We do this by promoting our own and RRPD’s programs and by supporting RRPD Officers and their families, especially in times of need.",NA,NA,"1517 E Palm Valley Blvd","Round Rock","TX","78664",NA,"(512) 494-6218","Community/Local - single","Youth Engagement,Service and Volunteerism,Funding,Education,Dialogue","Civic Associations",NA,NA,"tag for public safety/security;

tagged/resolved 05/02",NA,"Safety and Security",NA,NA,NA,NA,30.5085915,-97.6788056
"143","Senate Hispanic Research Council","74-2724063","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.tshrc.org/","The Senate Hispanic Research Council is a 501(c)(3) nonprofit organization dedicated to strengthening the next generation of young leaders in Texas. We advance our mission through the Senator Gregory Luna Legislative Scholars and Fellows Program.",NA,NA,"1108 Lavaca St Ste 110 # 236","Austin","TX","78701","sarah@tshrc.org","(512) 499-8606","State - single","Education,Funding","Civic Education / Learning",NA,NA,NA,NA,"Youth Engagement and Leadership,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
"144","Senior Access","74-2692484","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://senioraccesstx.org/","Senior Access is dedicated to helping senior adults, many of whom are on very limited incomes, by providing essential transportation services at no charge. We also help our older friends and neighbors maintain an independent lifestyle in their own homes for as long as possible.",NA,"Serita Lacasse","2498 E Palm Valley Blvd","Round Rock","TX","78665","admin@senioraccesstx.org","(512) 310-1060","Community/Local - single","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Community Engagement and Community Building,Social Isolation",NA,NA,NA,NA,30.5085915,-97.6788056
"145","Simsboro Aquifer Water Defense Fund Inc (SAWDF)","81-2991757","501(c)(3)","SAWDF","Practitioner Organization",NA,NA,"https://www.simsborowaterdefensefund.org/","The mission of the Simsboro Aquifer Water Defense Fund (SAWDF) is to take action to protect and conserve the Carrizo-Wilcox Aquifer in central Texas, as well as the rivers, streams and springs that are nurtured by it, and to defend the rights of those who live over the aquifer and who seek to leave a legacy of sustainable water resources for future Texans.",NA,NA,"PO BOX 931","ELGIN","TX","78621","info@SimsboroWaterDefenseFund.org","(512) 461-3179",NA,"Education,Advocacy,Organizing","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,30.3495084,-97.371118
"146","Southwest Voter Registration Education Project","23-7380570","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.svrep.org/","Our mission is to empower Latinos and Latinas through their vote. The vote has the power to transform our communities.",NA,NA,"320 El Paso St","San Antonio","TX","78207",NA,"(210) 922-0225","State - single","Education,Leadership Training,Community-Building / Networking,Organizing","Voter Engagement,Organizing & Advocacy",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Leadership Development for Healthy Democracy,Community Organizing,Diversity & Inclusion",NA,NA,NA,NA,29.4246002,-98.4951405
"147","Spectrum Fusion","82-2367027","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://spectrumfusion.org/","We are making the world a better place for adults on the autism spectrum by unlocking their hidden potential. 

We accomplish our mission by fostering a sense of belonging, building community, helping individuals realize their full potential by creating new opportunities through collaboration and connections.",NA,NA,"3714 Purdue St","Houston","TX","77005","heidi@spectrumfusion.org","(832) 208-5786","State - single","Professional Training,Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Social Justice,Social Isolation,Community Engagement and Community Building",NA,NA,NA,NA,29.7589382,-95.3676974
"148","Statefuneral for World War II Veterans","82-1730871","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://worldwar2salute.org/","At State Funeral for World War II Veterans, we aim to create a groundswell of petitions to the President to designate a single state funeral for the last Congressional Medal of Honor recipient, honoring your family’s story and the nation's love and respect for America’s Greatest Generation.",NA,NA,"6116 N Central Expy","Dallas","TX","75206","bill@worldwar2salute.org",NA,"National","Communications,Lobbying,Narrative Storytelling","Civic Education / Learning",NA,NA,NA,NA,"Patriotic Values",NA,NA,NA,NA,32.7762719,-96.7968559
"149","Suburban Sugar Land Women (SSLW)","76-0343813","501(c)(3)","SSLW","Practitioner Organization",NA,NA,"https://www.sslw.org/","Our Mission is to design, implement, maintain, and evaluate educational, civic, and cultural programs that build self-confidence and expand knowledge and skills to succeed in school and life.",NA,"Mable Scott Austin,Mose  Austin","PO Box 2384","Sugar Land","TX","77487","sslw89@gmail.com","(713) 256-7953","Community/Local - multiple","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,General Democracy/Good Governance/Civil Society",NA,NA,NA,NA,29.6196787,-95.6349463
"150","Swaniti Initiative","45-3964226","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.swaniti.com/","TO SUPPORT THE DEVELOPMENT OF YOUTH IN INDIA BY AIDING IN THE STRENGTHENING OF THE EDUCATION, HEALTH AND GOVERNANCE SYSTEMS. TO CREATE A GENERATION OF CIVICALLY ORIENTED INDIVIDUALS THROUGH EDUCATION, EMPLOYMENT AND EMPOWERMENT.",NA,NA,"1109 Marconi St","Houston","TX","77019","swaniti@swaniti.in","+91 9821959901","International","Advocacy,Funding,Cross-sector collaboration,Education,Research,Policy Advocacy and Analysis","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,29.7589382,-95.3676974
"151","Texans for Public Justice","74-2804942","501(c)(4)",NA,"Practitioner Organization",NA,NA,"http://www.tpj.org/","We're an Austin-based non-profit that organized in 1997 to take on political corruption and corporate abuses in Texas. Through intensive research and public advocacy we hope to add a clear voice to debates on political reform, consumer protection, civil justice and corporate accountability.",NA,"Craig McDonald","1102 Live Oak Ridge Rd","West Lake Hills","TX","78746","tpj@tpj.org","(512) 472-9770","State - single","Policy Advocacy and Analysis,Research,Print and Digital Publication","Civic Research",NA,NA,NA,NA,"Campaign Finance Reform,Transparency and Addressing Mis/Disinformation",NA,NA,NA,NA,30.2877039,-97.8068157
"152","Texas A&M International University (TAMIU)","74-1761398",NA,"TAMIU","Academic Institution,Parent Only",NA,NA,"https://www.tamiu.edu/","Texas A&M International University (TAMIU), a Member of The Texas A&M University System, prepares students for leadership roles in an increasingly complex, culturally diverse state, national, and global society. TAMIU provides a learning environment built on a solid academic foundation in the arts and sciences. The University offers a range of baccalaureate and master’s programs, the Doctor of Philosophy degree in International Business and the Doctor of Philosophy in Criminal Justice. In addition, the University pursues a progressive agenda for global study and understanding across all disciplines.",NA,NA,"5201 University Boulevard","Laredo","TX","78041",NA,"(956) 326-2001",NA,NA,NA,NA,NA,"how to tag academic institutions? - tagging goals, methods, etc. for larger institutions unnecessary, serves as parent org for campus initiatives - resolved 04/25",NA,NA,"SLSV",NA,NA,NA,27.5056251,-99.5074517
"153","Texas A&M University - Central Texas",NA,NA,NA,"Academic Institution,Parent Only",NA,NA,"https://www.tamuct.edu/","Texas A&M University-Central Texas is a public, upper-level university offering baccalaureate and graduate degrees important to the region and the state. It is committed to high quality, rigorous, and innovative educational programs delivered in a variety of instructional modes to a diverse student population through exceptional teaching, service, and applied scholarship. With an emphasis on community engagement, the university employs emerging technology to enhance student learning and to nurture its partnerships with regional community colleges, the military presence in its region, and the community at large.",NA,NA,"1001 Leadership Place","Kileen","TX","76549",NA,NA,NA,NA,NA,NA,NA,"how to tag academic institutions? 

tagging goals, methods, etc. for academic institutions unnecessary; servers as parent org for campus initiatives - resolved 04.25",NA,NA,"SLSV",NA,NA,NA,NA,NA
"154","Texas Blue Action Fund","86-3279257","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.texasblueaction.com/","On a mission to expand the electorate and build long-term sustainable Democratic organizing infrastructure in Texas.",NA,"Lana Hansen","PO BOX 41424","AUSTIN","TX","78704","info@blueactiondems.com",NA,"State - single,Community/Local - multiple","Organizing,Community-Building / Networking,Service and Volunteerism,Youth Engagement,Education","Voter Engagement,Organizing & Advocacy",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,30.2711286,-97.7436995
"155","Texas Campaign for the Environment Fund","74-2808805","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.texasenvironment.org/fund/","Engaging people and communities through face-to-face public education, grassroots organizing and action-oriented research for a cleaner and healthier Texas.",NA,"Robin Schneider","814 San Jacinto Blvd","Austin","TX","78701",NA,"(512) 326-5658","Community/Local - multiple,State - single","Research,Advocacy,Organizing","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,30.2711286,-97.7436995
"156","Texas Citizens On Patrol Association","82-5477884","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://txcop.org/","TCOPA believes in the importance of volunteerism and especially in the field of law enforcement. Our mission is to provide the type of ongoing training for police volunteers to assist them in the performance of non-law enforcement functions so that police officers can be available to answer higher priority calls. C.O.P. volunteers are the additional eyes and ears for law enforcement. Police volunteers play a vital roll in their community by acting as a force multiplier for their local police department.",NA,NA,"PO Box 1141","Roanoke","TX","76262","tcopaboard@gmail.com",NA,"Community/Local - single","Education,Service and Volunteerism","Civic Associations",NA,NA,"tag fo public safety/security;",NA,"Safety and Security",NA,NA,NA,NA,33.0040126,-97.2258483
"157","Texas Civic Education Coalition",NA,NA,NA,"Practitioner Organization",NA,"iCivics","https://texasciviceducationcoalition.org/","We are a cross-partisan coalition of over 40 organizations with a mission to improve Texas’s civic education.","Texas Civic Education Coalition",NA,NA,NA,"TX",NA,"Texas@iCivics.org",NA,"State - single","Education,Professional Training,Policy Advocacy and Analysis","Civic Education / Learning",NA,NA,NA,NA,"Civic Education","CivXNow",NA,NA,NA,NA,NA
"158","Texas Faith & Freedom Coalition","85-0614367","501(c)(4)",NA,"Practitioner Organization","Chapter","Faith and Freedom Coalition","https://www.texasffc.com/","OUR FIVE-FOLD MISSION:

Mobilize and train people of faith to be effective citizens

Speak out in the public arena and in the media on behalf of Christian values

Influence legislation and enact sound public policy at every level of government

Train citizens for effective civic action

Protest bigotry and discrimination against people of faith",NA,"Don  Garner","PO Box 191","Austin","TX","78767","don@texasffc.com","(512) 745-1643","State - single","Advocacy","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy,Patriotic Values,Voter Engagement/Registration/Education",NA,NA,NA,NA,30.2711286,-97.7436995
"159","Texas Hillel Foundation","52-1758802","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://texashillel.org/","Texas Hillel strives to enrich the lives of Jewish undergraduate and graduate students so that they may enrich the Jewish people and the world.",NA,NA,"2105 San Antonio Street","San Antonio","TX","78705","info@texashillel.org","(512) 476-0125","State - single","Community-Building / Networking,Service and Volunteerism","Organizing & Advocacy,Faith-Based Efforts",NA,NA,NA,NA,"Social Justice,Faith-Based Organizing/Engagement/Advocacy","SLSV",NA,NA,NA,29.4246002,-98.4951405
"160","Texas Organizing Project Education Fund","27-1481855","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://topedfund.org/","TEXAS ORGANIZING PROJECT EDUCATION FUND (TOP ED FUND) IMPROVES THE LIVES OF LOW AND MODERATE INCOME TEXAS FAMILIES BY BUILDING POWER THROUGH COMMUNITY ORGANIZING AND CIVIC ENGAGEMENT.",NA,NA,"PO Box 120296","San Antonio","TX","78212",NA,"(210) 900-2901","State - single",NA,"Organizing & Advocacy",NA,NA,NA,NA,"Civil and Political Rights,Community Organizing,Voting Rights and Voter Participation,Voter Engagement/Registration/Education",NA,NA,NA,NA,29.4246002,-98.4951405
"161","Texas Public Interest Research Group Inc (TexPIRG)","74-2990805","501(c)(4)","TexPIRG","Practitioner Organization",NA,NA,"https://pirg.org/texas/","TexPIRG is a consumer group that stands up to powerful interests whenever they threaten our health and safety, our financial security, or our right to fully participate in our democratic society.

For decades, we’ve stood up for consumers, countering the influence of big banks, insurers, chemical manufacturers and other powerful special interests.

Our team of researchers uncover the facts; our staff bring our findings to the public, through the media as well as one-on-one interactions; and our advocates are bringing the voice of the public to the halls of power on behalf of consumers.",NA,NA,"200 E 30th St","Austin","TX","78705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Public Interest Network",NA,NA,NA,30.2711286,-97.7436995
"162","Texas Public Policy Action","46-1644218","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.texaspolicy.com/","The Foundation’s mission is to promote and defend liberty, personal responsibility, and free enterprise in Texas and the nation by educating and affecting policymakers and the Texas public policy debate with academically sound research and outreach.",NA,"Greg  Sindelar","PO Box 312","Leander","TX","78646",NA,"(512) 472-2700","State - single","Research,Policy Advocacy and Analysis,Print and Digital Publication,Podcasts/Radio","Civic Research",NA,NA,NA,NA,"Voting Research,Policy Development,Election Protection",NA,NA,NA,NA,30.5736134,-97.8567339
"163","Texas Silver Haired Legislature Foundation (TSHL)","74-2419398","501(c)(3)","TSHL","Practitioner Organization",NA,NA,"https://tshl.org/","The Texas Silver-Haired Legislature strives to promote good government for all Texans by directly involving Senior citizens in the legislative process. TSHL provides a nonpartisan forum for discussion and debate of Senior issues, advocacy training, and an avenue through which older citizens may serve as a resource to both public and private sectors.",NA,NA,"PO Box 90621","Austin","TX","78709",NA,NA,"State - single","Advocacy,Issue Campaigns,Education,Commemoration,Communications","Deliberative/Participatory/Direct Democracy",NA,NA,NA,NA,"Deliberative Democracy,Participatory Democracy,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,30.2711286,-97.7436995
"164","Texas Spirits","20-4251739","501(c)(4)",NA,"Practitioner Organization","Campus Initiative",NA,"http://www.texasspirits.com/","Texas Spirits is an honorary social, spirit, and service organization for women and non-binary individuals at the University of Texas at Austin. The purpose of Texas Spirits is to promote spirit and serve the University and the Austin community in the best way possible. Our four pillars of spirit, love, service, and friendship represent the core values Texas Spirits strive to uphold.",NA,NA,"PO Box 303503","Austin","TX","78703",NA,NA,"Community/Local - single","Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Service & Volunteerism,Diversity & Inclusion",NA,NA,NA,NA,30.2711286,-97.7436995
