Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630216,501(c)(8),,Practitioner Organization,Chapter,,,,,,207 S Liberty Ave,New Braunfels,TX,78130,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.7028266,-98.1257348,
Woodmen of the World Life Insurance Society,23-7630213,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 125,New Summerfield,TX,75780,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.9807226,-95.0938322,
Woodmen of the World Life Insurance Society,75-2087740,501(c)(8),,Practitioner Organization,Chapter,,,,,,17013 CR 4561,NORMANGEE,TX,77871,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.0297095,-96.1169986,
Woodmen of the World Life Insurance Society,65-1260497,501(c)(8),,Practitioner Organization,Chapter,,,,,,9667 Caldwell Rd,Normangee,TX,77871,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.0297095,-96.1169986,
Woodmen of the World Life Insurance Society,23-7630254,501(c)(8),,Practitioner Organization,Chapter,,,,,,5706 N Dixie Blvd,Odessa,TX,79762,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.8457149,-102.367687,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630340,501(c)(8),,Practitioner Organization,Chapter,,,,,,7067 S FM 4,Palo Pinto,TX,76484,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.7668959,-98.2993631,
Paris Jr College,756002205,,,,,,,,,,,Paris,TX,75460,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,33.6617962,-95.555513,
Woodmen of the World Omaha Woodmen TX-1996,23-7630259,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 210,Pattison,TX,77466,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.8252297,-95.9949564,
We Got This TX,87-1255180,501(c)(3),,Practitioner Organization,,,https://wegotthistx.com/,"We Got This TX is on a mission to train, support, and create opportunities for Black, Indigenous, and women of color (BIWOC) to participate in civic life and the Texas legislative process. We endeavor to create a pipeline of opportunity because we believe that the Black, Indigenous, and women of color who lead, serve, and organize our communities deserve equitable representation in every aspect of civic life and the Texas legislative process.

We are fiercely committed to sparking transformative change for a more just and representative Texas. We Got This TX believes that all Texas communities will be better served when there is equitable access to civic participation and representation in the Texas legislative process. We also believe that it is the role of We Got This TX to provide the tools that Black, Indigenous, and women of color need to participate in civic life and engage in the Texas legislative process so that they can speak truth to power. Our lived experience is expertise that belongs in the halls of power.

We are a nonpartisan organization. We do not take positions on issues, policies, or candidates. We support program participants in engaging civically and unapologetically voicing their priorities in their own words and on their own terms. The views expressed by our program participants are their own and do not constitute the views or positions of We Got This TX.",,,16216 Chianti Cv,Pflugerville,TX,78660,info@wegotthistx.com,,State - single,"Advocacy,Education,Leadership Training,Narrative Storytelling,Community-Building / Networking","Voter Engagement,Organizing & Advocacy",,,,,"Diversity & Inclusion,Voter Engagement/Registration/Education,Election Protection",,,,,30.4393696,-97.6200043,
"BOYS & GIRLS CLUB OF PHARR, INC.",752258513,,,,,,,,,,,Pharr,TX,78577,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,26.1947962,-98.1836216,
Woodmen of the World Life Insurance Society,23-7630458,501(c)(8),,Practitioner Organization,Chapter,,,,,,406 S Woodland Dr,Pharr,TX,78577,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,26.1947962,-98.1836216,
Woodmen of the World Life Insurance Society,75-2028147,501(c)(8),,Practitioner Organization,Chapter,,,,,,554 COUNTY ROAD 4248,PITTSBURG,TX,75686,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.9954021,-94.9657688,
Woodmen of the World Life Insurance Society,23-7630167,501(c)(8),,Practitioner Organization,Chapter,,,,,,132 Jefferson St Ste B,Pittsburg,TX,75686,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.9954021,-94.9657688,
City of Plainview,756000639,,,,,,,,,,,Plainview,TX,79072,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,34.1847936,-101.706841,
Art & Drama Centre Theatre,27-3293759,501(c)(3),,,,,https://www.artcentretheatre.com/,"The Art Centre Theatre's (ACT) main objectives are to:

1. Present recurring seasons of the best possible theatrical and artistic works using the best talent and materials available. 

2. Produce new, traditional, local, dramatic, comedic and musical and                         experimental theatrical works at a low cost to the public.

3. Present entertaining and educational children's programming during the school day, evenings and on weekends.

4. Satisfy the needs of special audiences.

5. Instill in the community a sense of unity and cohesion through the                          presentation of works that challenge conventional ideals and commonly accepted mores. ACT accomplishes these goals through the presentation of a highly varied program of musical theatre, drama, comedy, opera, operetta, dance, children's theatre, concerts and art exhibits in a season that runs year-round.",,,1400 Summit Ave,Plano,TX,75074,,,Community/Local - single,Arts and Culture,Service & Volunteerism,,,,,Civic Arts,,,,,33.0136764,-96.6925096,
Dfw Asian American Citizens Council,75-2937979,501(c)(3),,Practitioner Organization,,,https://www.dfwaacc.org/dfwaacc/,"The mission of DFW AACC is to promote and assist Asian-American involvement in local, social, political, and civic activities that increase community awareness, improve Asian-American representation, and enhance the quality of life.",,,420 Maplelawn Dr,Plano,TX,75075,dfwaacc.box@gmail.com,,Community/Local - multiple,"Youth Engagement,Leadership Training,Community-Building / Networking,Funding,Membership",Civic Associations,,,,,"Diversity & Inclusion,Community Engagement and Community Building,Social Isolation,Voter Engagement/Registration/Education,Youth Engagement and Leadership",,,,,33.0136764,-96.6925096,
Hispanic Republican Club of North Texas,82-5362435,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/HRCNT,"The mission of the Hispanic Republican Club of North Texas is to influence, educate, promote, and support both policies and elected officials that advance the rule of law, provide for the core functions of government in a fiscally responsible manner, and represent citizens with transparency and integrity.",,,PO Box 941081,Plano,TX,75094,hispanicgop01@gmail.com,(561) 843-1288,Community/Local - single,"Dialogue,Communications",Deliberative/Participatory/Direct Democracy,,,,,"Voter Engagement/Registration/Education,Responsive Governance",,,,,33.0136764,-96.6925096,
League of Women Voters of Collin County,51-0155936,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvcollin.org/,"The League of Women Voters of Collin County is a 501C3 nonpartisan organization.

Our mission is ‘Empowering voters. Defending democracy.’

People of all genders who support the mission are invited to join.",,Janet R Imhoff,PO Box 866592,Plano,TX,75086,lwvcollin@gmail.com,,State - single,"Organizing,Advocacy,Education,Membership,Dialogue",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",,,,,33.0136764,-96.6925096,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630257,501(c)(8),,Practitioner Organization,Chapter,,,,,,105 Crestfield Dr,Pleasanton,TX,78064,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,28.967194,-98.4786269,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630362,501(c)(8),,Practitioner Organization,Chapter,,,,,,2627 10th St,Port Arthur,TX,77640,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.8716577,-93.9332302,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630499,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 1500,Quitman,TX,75783,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.7957722,-95.4518285,
Christians Engaged,84-2478845,501(c)(3),,Practitioner Organization,,,https://christiansengaged.org/,"TO AWAKEN, MOTIVATE, EDUCATE, AND EMPOWER ORDINARY BELIEVERS IN JESUS CHRIST TO: PRAY FOR OUR NATION AND ELECTED OFFICIALS REGULARLY, TO VOTE IN EVERY ELECTION TO IMPACT OUR CULTURE, AND TO ENGAGE OUR HEARTS IN SOME FORM OF CIVIC EDUCATION AND INVOLVEMENT FOR THE WELLBEING OF OUR NATION.",,Bunni  Pounds,2600 E RENNER RD APT 229,RICHARDSON,TX,75082,info@christiansengaged.org,(972) 271-7788,National,"Education,Podcasts/Radio,Print and Digital Publication,Communications","Voter Engagement,Faith-Based Efforts",,,,,"Voter Engagement/Registration/Education,Civic Education,Voting Rights and Voter Participation,Faith-Based Organizing/Engagement/Advocacy",,,,,32.9481789,-96.7297206,
Causability,85-2552519,501(c)(3),,Funder,,, https://causability.org/,"Causability is a 501(c)(3) nonprofit, community cause-based philanthropic fundraising donor platform.

Our mission to give voices through empowering causes using our crowdfunding platform.",,Elizabeth London,1606 Cheyenne Dr,Richardson,TX,75080,info@causability.org,,"""Regional (e.g. Midwest, South)""","Crowdfunding,Arts and Culture,Funding",Organizing & Advocacy,Impact Investing,,,,"Diversity & Inclusion,Civic Arts,Healing Justice,Economic Advocacy/Justice/Reform",,,,,,,
League of Women Voters of Richardson,75-6043960,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvrichardson.org/,"The League of Women Voters, a nonpartisan political organization, encourages the informed and active participation of citizens in government and influences public policy through education and advocacy.",,Ellen Steger,300 N Coit Rd Ste 125,Richardson,TX,75080,league@lwvrichardson.org,(972) 470-0584,Community/Local - single,"Organizing,Advocacy,Membership,Education,Dialogue",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion,Electoral Reform",,,,,32.9481789,-96.7297206,
Richardson Citizen Fire Academy Alumni Association,75-2884604,501(c)(3),,Practitioner Organization,,,https://www.cor.net/departments/fire-department/citizen-s-fire-academy-alumni-association,"The mission of the Richardson Citizen Fire Academy Alumni Association (RCFAAA) is to function in an auxiliary capacity to assist, promote, and support the Richardson Fire Department through service, education and recognition.",,,300 N Greenville Ave,Richardson,TX,75081,fmo@cor.gov,,Community/Local - single,"Funding,Service and Volunteerism,Education",Civic Associations,,,"tag for public safety/security

tagged/resolved 05/02",,"Civic Infrastructure Development,Safety and Security",,,,,32.9481789,-96.7297206,
Fort Bend Family Health Center,741951476,,,,,,,,,,,Richmond,TX,77469,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.5821811,-95.7607832,
Minaret Foundation,83-3372048,501(c)(3),,Practitioner Organization,,,https://minaretfoundation.com/,"Minaret Foundation’s mission is to bring faith communities together to change the world around us through multi-faith and civic engagement.

Our vision is to see a world where our faith communities seek each other’s help to better the world as the norm, instead of the exception.",,Shariq Abdul Ghani,19902 Sonterra Ln,Richmond,TX,77407,info@minaretfoundation.com,(281) 401-9229,,"Advocacy,Policy Advocacy and Analysis,Organizing,Food Justice and Access,Mental Health,Youth Engagement,Education",Faith-Based Efforts,,,,,"Interfaith Organizing/Engagement,Policy Development",,,,,29.5821811,-95.7607832,
Woodmen of the World Life Insurance Society,23-7630230,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 1147,Richmond,TX,77406,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.5821811,-95.7607832,
Woodmen of the World Life Insurance Society,23-7630357,501(c)(8),,Practitioner Organization,Chapter,,,,,,109 N Muniz St,Rio Grande City,TX,78582,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,26.3827771,-98.8205251,
Woodmen of the World Life Insurance Society 6052,23-7630541,501(c)(8),,Practitioner Organization,Chapter,,,,,,125 S Arredondo St,Rio Grande City,TX,78582,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,26.3827771,-98.8205251,
Texas Citizens On Patrol Association,82-5477884,501(c)(3),,Practitioner Organization,,,https://txcop.org/,TCOPA believes in the importance of volunteerism and especially in the field of law enforcement. Our mission is to provide the type of ongoing training for police volunteers to assist them in the performance of non-law enforcement functions so that police officers can be available to answer higher priority calls. C.O.P. volunteers are the additional eyes and ears for law enforcement. Police volunteers play a vital roll in their community by acting as a force multiplier for their local police department.,,,PO Box 1141,Roanoke,TX,76262,tcopaboard@gmail.com,,Community/Local - single,"Education,Service and Volunteerism",Civic Associations,,,tag fo public safety/security;,,Safety and Security,,,,,33.0040126,-97.2258483,
Woodmen of the World Life Insurance Society 0428,23-7630221,501(c)(8),,Practitioner Organization,Chapter,,,,,,103 Glenn Ave # 337,Rockwall,TX,75087,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.9312336,-96.4597089,
Collegiate Edu-Nation,832468060,,,,,,,,,,,Roscoe,TX,79545,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.441615,-100.539297,
Brazoria County Voter Initiative,88-3894542,501(c)(3),,Practitioner Organization,,,https://www.brazoriacountyvoterinitiative.org/,"The Mission of the Brazoria County Voter Initiative is to TRAIN and EDUCATE the public to facilitate Voter Engagement. We pride ourselves in providing exceptional workshop presentations of the highest standards to educate, train, and energization the community to prioritize voting and maintain consistent voter engagement. Each workshop presentation tailored to address the specific needs of your audience and is designated to dissect and present vital information on current voting rules and regulations taking on innovative approach to continuing to educate on the challenges of voting.",,,5519 Autumn Ash Ln,Rosharon,TX,77583,bcvoterinitiative@gmail.com,(832) 848-0815,Community/Local - single,Education,Voter Engagement,,,,,Voter Engagement/Registration/Education,,,,,29.3521203,-95.460341,
American Values Project,86-3620603 ,501(c)(4),,Practitioner Organization,,,https://theamericanvaluesproject.com/,"The American Values Project is a non-profit organization committed to the founding values that America is strongest when our local communities are strongest. We will fight the toxic nature of our national politics by investing in local communities and the people who want to set a better example of what “a more perfect union” should look like. We believe that an educated and engaged citizenry is necessary for America to succeed and that this change must start at the local level in our homes, churches, community centers, schools, etc.

Our principles are honesty, integrity, family unity, personal responsibility, ownership of one’s community, and responsible government. Those guiding principles will allow us to build upon the great things America has stood for, does stand for, and will stand for in the future. We are strongest when our foundation is strong and the American Values Project is ready to ensure that our foundation is strong for the future!",,,2250 Double Creek Dr Unit 6661,Round Rock,TX,78683,,,,,Civic Education / Learning,,,No contact information through webpage; limited understanding of what they do; perhaps 501(c)(4) arm of American values coalition - erring on the side of inclusion - resolved 04-2024;,,Patriotic Values,,,,,30.5085915,-97.6788056,
Round Rock Police Foundation,47-4055770,501(c)(3),,Practitioner Organization,,,https://roundrockpolicefoundation.org/,"The mission of the Round Rock Police Foundation is to strengthen engagement between RRPD and the community to improve public safety and promote a higher quality of life for all Round Rock residents and visitors. We do this by promoting our own and RRPD’s programs and by supporting RRPD Officers and their families, especially in times of need.",,,1517 E Palm Valley Blvd,Round Rock,TX,78664,,(512) 494-6218,Community/Local - single,"Youth Engagement,Service and Volunteerism,Funding,Education,Dialogue",Civic Associations,,,"tag for public safety/security;

tagged/resolved 05/02",,Safety and Security,,,,,30.5085915,-97.6788056,
Senior Access,74-2692484,501(c)(3),,Practitioner Organization,,,https://senioraccesstx.org/,"Senior Access is dedicated to helping senior adults, many of whom are on very limited incomes, by providing essential transportation services at no charge. We also help our older friends and neighbors maintain an independent lifestyle in their own homes for as long as possible.",,Serita Lacasse,2498 E Palm Valley Blvd,Round Rock,TX,78665,admin@senioraccesstx.org,(512) 310-1060,Community/Local - single,Service and Volunteerism,Service & Volunteerism,,,,,"Service & Volunteerism,Community Engagement and Community Building,Social Isolation",,,,,30.5085915,-97.6788056,
American Values Coalition,,,,"Practitioner Organization,Coalition",,,https://americanvalues.org/,"Growing a community of Americans empowered to lead with truth, reject extremism and misinformation, and defend democracy.",,Napp Nazworth,2250 Double Creek Dr. #6661,Round Rock ,TX,78683,,,National,"Leadership Training,Print and Digital Publication",Faith-Based Efforts,,,,,"Transparency and Addressing Mis/Disinformation,Leadership Development for Healthy Democracy,Faith-Based Organizing/Engagement/Advocacy","Bridge Alliance,Citizen Connect",,,,30.5085915,-97.6788056,
Concho Valley Council of Governments,751279537,,,,,,,,,,,San Angelo,TX,76904,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.4649685,-100.4405094,
Open Arms Advocacy Center,75-2398422,501(c)(3),,Practitioner Organization,,,https://openarmscv.com/,"To create social change within the Concho Valley, by providing prevention, education, advocacy, and a safe place to foster healing for survivors of sexual violence and gender discrimination. We envision a community that stands together against sexual violence and all forms of discrimination.",,D’Lyn Culp,113 N Harrison St,San Angelo,TX,76901,info@openarmscv.org,(325) 655-2000,Community/Local - single,"Advocacy,Education,Service and Volunteerism",Organizing & Advocacy,,,,,"Healing Justice,Public Health",,,,,31.4649685,-100.4405094,
Woodmen of the World Life Insurance Society,23-7630178,501(c)(8),,Practitioner Organization,Chapter,,,,,,4529 Shingle Oak Ln,San Angelo,TX,76904,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.4649685,-100.4405094,
Texas Organizing Project (TOP),27-1482075,501(c)(4),TOP,Practitioner Organization,,,https://organizetexas.org/,"The mission of the Texas Organizing Project is to bring together Black and Latino Texans so that together we can fight for real change by organizing our neighborhoods, investing our time and energy in causes relevant to our communities, and collectively taking ownership over TOP’s agenda, strategy and direction. With a seasoned and committed organizing staff, a diverse membership and leaders from all walks of life, TOP has already made a huge impact and is positioned to continue to grow.",,"Brianna  Brown,Michelle Tremillo",PO BOX 120296,SAN ANTONIO,TX,78212,grants@organizetexas.org,(210) 900-2901,"State - single,Community/Local - multiple","Issue Campaigns,Organizing,Communications,Print and Digital Publication,Advocacy",Organizing & Advocacy,,,,,"Diversity & Inclusion,Community Organizing,Racial Equity",MVP,,,,29.4246002,-98.4951405,
Alamo Area Council of Governments,741557491,,,,,,,,,,,San Antonio,TX,78217,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Americans United for Separation of Church and State - San Antonio (AU San Antonio),22-3963647,501(c)(3),AU San Antonio,Practitioner Organization,Chapter,,https://americansunitedsa.org/,Our primary goal as an organization and local chapter is to educate the American public and our community regarding the importance of religious liberty through the separation of church and state. ,,Eric Lane,PO Box 100806,San Antonio,TX,78201,,,Community/Local - single,"Education,Dialogue,Print and Digital Publication,Podcasts/Radio,Advocacy,Issue Campaigns",Organizing & Advocacy,,,,,"Interfaith Organizing/Engagement,Civil and Political Rights",,,,,29.4246002,-98.4951405,
Castle Hills Community Organization,81-1902154,501(c)(3),,Practitioner Organization,,,https://castlehillscommunityorganization.org/,"The CHCO is a community organization that hosts social events throughout the year.  We reach out to all Castle Hills families and households, to encourage participation in each special event, which helps unify and strengthen our community.",,Bernard Juettemeyer,209 Lemonwood Dr,San Antonio,TX,78213,castlehillscommunityorg@gmail.com,,Community/Local - single,Community-Building / Networking,Civic Associations,,,,,Community Engagement and Community Building,,,,,29.4246002,-98.4951405,
"CATHOLIC CHARITIES, ARCHDIOCESE OF SAN ANTONIO, INC",741109743,,,,,,,,,,,San Antonio,TX,78212,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
CITY OF SAN ANTONIO,746002070,,,,,,,,,,,San Antonio,TX,78205,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Communities In Schools of San Antonio,742393714,,,,,,,,,,,San Antonio,TX,78217,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Habitat for Humanity - San Antonio,741897502,,,,,,,,,,,San Antonio,TX,78204,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Japan-American Society of San Antonio,74-2450599,501(c)(3),,Practitioner Organization,,,https://www.jas-sa.org/,"Building a community for those who support, facilitate and promote Japanese culture, education and business in the greater San Antonio area.",,Yuko Kawabe,PO Box 460444,San Antonio,TX,78246,,,Community/Local - single,"Arts and Culture,Youth Engagement,Education",Civic Associations,,,,,"Diversity & Inclusion,Community Engagement and Community Building,Youth Engagement and Leadership",,,,,29.4246002,-98.4951405,
LiftFund,742712770,,,,,,,,,,,San Antonio,TX,78207,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
MOVE Texas,,501(c)(4),,Practitioner Organization,,,https://movetexas.org/,"(c4) MOVE Texas Action Fund is the political arm of MOVE Texas, Mobilize. Organize. Vote. Empower., an organization dedicated to building the political power of young people in underrepresented communities through civic engagement, leadership development, and issue advocacy.

Our vision is to build the political power of young people to transform democracy in Texas and beyond.",,Claudia Yoli Ferla,"14439 NW Military Hwy, Suite 108-415",San Antonio,TX,78231,info@movetexas.org,,Community/Local - multiple,"Education,Leadership Training,Youth Engagement",Organizing & Advocacy,,,,,"Community Organizing,Leadership Development for Healthy Democracy,Voter Engagement/Registration/Education","SLSV,MVP",,,,29.4246002,-98.4951405,
Muslim Children Education and Civic Center,20-2593163,501(c)(3),,Practitioner Organization,,,https://www.mcecc.com/,"The mission of the MCECC is to organize and reinvigorate the Muslim Community of San Antonio by imparting a strong Islamic education to all, with a particular emphasis on the youth. We strive to bring civic awareness, the desire for service, and leadership to our San Antonio community so that our youth may service as proud Muslim Americans leaders. Our desire is to continuously network and engage with non-Muslim community for the purpose of forging a better understanding of each other beliefs and faith so that we may all serve humanity and please One God.",,Sh. Noorulhuda Khalid,5281 Casa Bella,San Antonio,TX,78249,contact@mcecc.com,(210) 760-3227,Community/Local - single,"Education,Youth Engagement",Faith-Based Efforts,,,,,Faith-Based Organizing/Engagement/Advocacy,,,,,29.4246002,-98.4951405,
National Coalition of 100 Black Women San Antonio Chapter,81-0718292,501(c)(3),,Practitioner Organization,Chapter,,https://www.ncbw-sa.org/,"The mission of the National Black Coalition of 100 Black Women, Inc. is to advocate on behalf of black women and girls to promote leadership development and gender equity in the areas of health, education and economic empowerment.",,R. Joy McGhee,PO Box 460654,San Antonio,TX,78246,info@ncbw-sa.org​,(210) 646-4074,Community/Local - single,"Education,Leadership Training,Advocacy",Organizing & Advocacy,,,,,"Racial Equity,Social Justice,Economic Advocacy/Justice/Reform",,,,,29.4246002,-98.4951405,
Radical Registrars,86-2386316,501(c)(3),,Practitioner Organization,,,https://radicalregistrars.org/,"Our mission is to empower, engage, and educate voters through civic education and voter mobilization across central Texas.",,Valerie Reiffert,3846 River Fls,San Antonio,TX,78259,info@radicalregistrars.org,,State - single,"Education,Service and Volunteerism",Voter Engagement,,,,,Voter Engagement/Registration/Education,,,,,29.4246002,-98.4951405,
San Antonio Area Foundation,746065414,,,,,,,,,,,San Antonio,TX,78216,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Southwest Voter Registration Education Project,23-7380570,501(c)(3),,Practitioner Organization,,,https://www.svrep.org/,Our mission is to empower Latinos and Latinas through their vote. The vote has the power to transform our communities.,,,320 El Paso St,San Antonio,TX,78207,,(210) 922-0225,State - single,"Education,Leadership Training,Community-Building / Networking,Organizing","Voter Engagement,Organizing & Advocacy",,,,,"Voter Engagement/Registration/Education,Leadership Development for Healthy Democracy,Community Organizing,Diversity & Inclusion",,,,,29.4246002,-98.4951405,
Texas Hillel Foundation,52-1758802,501(c)(3),,Practitioner Organization,,,https://texashillel.org/,Texas Hillel strives to enrich the lives of Jewish undergraduate and graduate students so that they may enrich the Jewish people and the world.,,,2105 San Antonio Street,San Antonio,TX,78705,info@texashillel.org,(512) 476-0125,State - single,"Community-Building / Networking,Service and Volunteerism","Organizing & Advocacy,Faith-Based Efforts",,,,,"Social Justice,Faith-Based Organizing/Engagement/Advocacy",SLSV,,,,29.4246002,-98.4951405,
Texas Organizing Project Education Fund,27-1481855,501(c)(3),,Practitioner Organization,,,https://topedfund.org/,TEXAS ORGANIZING PROJECT EDUCATION FUND (TOP ED FUND) IMPROVES THE LIVES OF LOW AND MODERATE INCOME TEXAS FAMILIES BY BUILDING POWER THROUGH COMMUNITY ORGANIZING AND CIVIC ENGAGEMENT.,,,PO Box 120296,San Antonio,TX,78212,,(210) 900-2901,State - single,,Organizing & Advocacy,,,,,"Civil and Political Rights,Community Organizing,Voting Rights and Voter Participation,Voter Engagement/Registration/Education",,,,,29.4246002,-98.4951405,
Texas Unitarian Universalist Justice Ministry Advocacy Network (TXUUJM),46-3560205,501(c)(4),TXUUJM,Practitioner Organization,,,https://txuujm.org/?fbclid=IwZXh0bgNhZW0CMTAAAR2ETkpZsiYnsaWvW2b74LyK3e8udxxq12Rm1R0l8_AZUJpa-so5Jjua8jA_aem_AcVLgWM7vqpp9vHMKfEYE3THMktsl9j6ifQsdFIGVnphVnAdw-EFHBkk2Z4NrJlzJ_nXK97sdGsCRwzUSKui34K5,"TXUUJM educates and organizes Texas UUs, congregations, and partners to advocate effectively for UU principles in public policy and the public square.",,Erin Walter,24348 Cherry Spg,San Antonio,TX,78255,txuujm@gmail.com,,State - single,"Advocacy,Organizing",Faith-Based Efforts,,,,,"Faith-Based Organizing/Engagement/Advocacy,Social Justice",,,,,29.4246002,-98.4951405,
William C Velasquez Institute Inc (WCVI),74-2378901,501(c)(3),WCVI,Practitioner Organization,,,https://wcvi.org/,"The William C. Velásquez Institute (WCVI) is a tax-exempt, non-profit, non-partisan public policy analysis organization chartered in 1985. WCVI (originally the Southwest Voter Research Institute) is a spinoff of the legacy organization Southwest Voter Registration Education Project (SVREP) founded by the late Latino icon Willie Velasquez. Willie correctly foresaw that Latino voters would inevitably overcome their political exclusion and needed to develop their policy and governance capacity.",,,320 El Paso St,San Antonio,TX,78207,info@wcvi.org,(210) 223-2918,National,"Research,Policy Advocacy and Analysis,Advocacy,Economic Development,Dialogue",Civic Research,,,,,Policy Development,,,,,29.4246002,-98.4951405,
Woodmen of the World Life Insurance Society,23-7630321,501(c)(8),,Practitioner Organization,Chapter,,,,,,115 Pollydale Ave,San Antonio,TX,78223,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Woodmen of the World Life Insurance Society,74-2020426,501(c)(8),,Practitioner Organization,Chapter,,,,,,10819 Wedgewood Dr,San Antonio,TX,78230,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Woodmen of the World Life Insurance Society 6667,23-7630401,501(c)(8),,Practitioner Organization,Chapter,,,,,,804 W Poplar St,San Antonio,TX,78212,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630525,501(c)(8),,Practitioner Organization,Chapter,,,,,,5372 Fredericksburg Rd Ste 125,San Antonio,TX,78229,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.4246002,-98.4951405,
