"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"1691","South Plains Community Action Association, Inc.","Levelland","TX","79336","751230219","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.5871311,-102.377698
"1692","Southeast Arkansas Education SEAEC","Monticello","AR","71655","710552055","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.6293427,-91.7912327
"1693","Southeastern Community College","Whiteville","NC","28472","560815200","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",34.3387802,-78.7030721
"1694","Southeastern Louisiana University","Hammond","LA","70401","726000816","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",30.5043583,-90.4611995
"1695","Southeastern Virginia Areawide Model Program, Inc","Norfolk","VA","23513","546069786","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",36.8448348,-76.2863999
"1696","Southern Appalachian Labor School","Kincaid","WV","25119","550620198","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",38.0406645,-81.2701079
"1697","Southern Appalachian Labor School - OLD","Kincaid","WV","25119","550620198","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",38.0406645,-81.2701079
"1698","Southern Arkansas University","Magnolia","AR","71753","716007749","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",33.2670725,-93.2393341
"1699","Southern Maine Agency on Aging","Biddeford","ME","04005","010360259","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",43.4925843,-70.4533844
"1700","Southern Mississippi Planning and Development District, Inc.","Gulfport","MS","39503","640441554","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.3674198,-89.0928155
"1701","Southern New Hampshire Services Inc.","Manchester","NH","03103","020268285","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",42.9956397,-71.4547891
"1702","Southern Rhode Island Volunteers","Charlestown","RI","02813","050393018","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Healthy Futures; Veterans and Military Families",41.3831566,-71.641729
"1703","SouthernCarolina Regional Development Alliance","Barnwell","SC","29812","571006531","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",33.2448733,-81.3587178
"1704","Southwest Behavioral Health Center","St George","UT","84770","870427767","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",37.104153,-113.584131
"1705","Southwest Florida Regional Planning Council","Cape Coral","FL","33991","591515448","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",26.5625742,-81.9438802
"1706","Southwest Human Resource Agency","Henderson","TN","38340","626050783","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.4392435,-88.6414411
"1707","Southwest Oklahoma Community Action Group","Altus","OK","73521","730744747","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",34.6381255,-99.3339754
"1708","Southwestern Illinois College Community College District No 522","Belleville","IL","62221","370896981","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",38.5135805,-89.9841627
"1709","Southwestern Vermont Council on Aging, Inc.","Rutland","VT","05701","030273983","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",43.6084792,-72.9724768
"1710","Southwestern Wisconsin Community Action Program Inc","Dodgeville","WI","53533","391053511","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.9600059,-90.1304461
"1711","Sowega Council on Aging, Incorporation","Albany","GA","31701","580965104","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Environmental Stewardship; Healthy Futures",31.5782062,-84.1556809
"1712","Spirit Lake Tribe","Fort Totten","ND","58335","450314494","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",47.9799986,-98.9929005
"1713","Spirit of the Sun Inc","Denver","CO","80218","030442292","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",39.7392364,-104.984862
"1714","Springfield College","Springfield","MA","01109","042104329","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.1018764,-72.5886727
"1715","Squam Lakes Association","Holderness","NH","03245","020256498","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",43.732406,-71.588974
"1716","St Charles Parish","Hahnville","LA","70057","726001208","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Healthy Futures; Veterans and Military Families",29.9765931,-90.4089708
"1717","St Croix Foundation for Community  Development Inc","Christiansted","VI","00820","660480131","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Education; Healthy Futures",17.7439481,-64.7079823
"1718","St Johns County School District","Saint Augustine","FL","32084","596000824","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",29.8946952,-81.3145395
"1719","St. Louis Area Foodbank Inc","Bridgeton","MO","63044","431253102","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.7566055,-90.42352
"1720","St. Louis Association of Community Organizations","Saint Louis","MO","63112","431155562","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",38.6280278,-90.1910154
"1721","St. Nicks Alliance Corp.","Brooklyn","NY","11211","510192170","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",40.6526006,-73.9497211
"1722","St. Paul Neighborhood Network","Saint Paul","MN","55114","411500773","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",44.9497487,-93.0931028
"1723","St. Paul's Community Development Corporation","Paterson","NJ","07501","223075855","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",40.9167654,-74.171811
"1724","St. Vincent Healthcare Foundation, Inc.","Billings","MT","59101","810468034","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",45.7874957,-108.49607
"1725","Star of the Sea Foundation","Key West","FL","33040","300496670","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",24.5548262,-81.8020722
"1726","State Of Idaho Department Of Labor","Boise","ID","83702","826000966","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",43.6166163,-116.200886
"1727","State of Arkansas","Little Rock","AR","72201","710847443","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",34.7465071,-92.2896267
"1728","State, New Jersey Department Of","Trenton","NJ","08608","216000928","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.2203074,-74.7659
"1729","Step Up Savannah","Savannah","GA","31401","300526014","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Healthy Futures",32.0790074,-81.0921335
"1730","Step Up Women's Network","Los Angeles","CA","90013","954701468","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",34.0536909,-118.242766
"1731","Stillman College","Tuscaloosa","AL","35401","630315935","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",33.2095614,-87.5675258
"1732","Stony Brook University","Stony Brook","NY","11794","161514621","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",40.9256538,-73.140943
"1733","Storytime Village Inc","Wichita","KS","67220","900450507","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",37.6922361,-97.3375448
"1734","Strategic Energy Innovations","San Rafael","CA","94903","680404081","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",37.9747795,-122.5316686
"1735","Stryckers Bay Neighborhood Council Inc","New York","NY","10025","131943516","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",40.7127281,-74.0060152
"1736","Sullivan County","Monticello","NY","12701","146002812","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures; Veterans and Military Families",41.6556465,-74.6893282
"1737","Sumter Senior Services, Inc.","Sumter","SC","29150","570609664","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",33.9204354,-80.3414693
"1738","Sunflower-Humphreys Counties Progress, Inc.","Indianola","MS","38751","640432937","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.4509513,-90.6550917
"1739","Sunset Park Health Council, Inc.","Brooklyn","NY","11220","202508411","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",40.6526006,-73.9497211
"1740","Surayya Anne Foundation","Tulsa","OK","74135","421745833","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",36.1563122,-95.9927516
"1741","TAOS COUNTY","Taos","NM","87571","856000255","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",36.4072377,-105.573284
"1742","TEACH FOR AMERICA INC","New York","NY","10004","133541913","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.7127281,-74.0060152
"1743","TECHNICAL COLLEGE SYSTEM OF GEORGIA","Macon","GA","31206","581839434","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",32.8406946,-83.6324022
"1744","TEENSHARP A NJ NONPROFIT CORP","Wilmington","DE","19801","272246880","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",39.7459468,-75.546589
"1745","TENNESSEE'S COMMUNITY ASSISTANCE CORPORATION","Morristown","TN","37814","621796161","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",36.2139814,-83.2948923
"1746","THE BE KIND PEOPLE PROJECT","Phoenix","AZ","85018","460720140","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.4484367,-112.074141
"1747","THE CAREERCATCHERS, INC.","Silver Spring","MD","20910","611588740","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",38.9959461,-77.0276231
"1748","THE COMMISSION ON ECONOMIC OPPORTUNITY FOR THE GREATER CAPITAL REGION, INC.","Troy","NY","12180","141490509","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.7284117,-73.6917878
"1749","THE COMMUNITY PLACE OF GREATER ROCHESTER INC","Rochester","NY","14609","161602979","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",43.157285,-77.615214
"1750","THE EAST END NEIGHBORHOOD HOUSE ASSOCIATION INC","Cleveland","OH","44104","340714656","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.4996574,-81.6936772
"1751","THE HIGH ROCKS EDUCATIONAL CORPORATION","Hillsboro","WV","24946","550743755","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",38.1354376,-80.2131296
"1752","THE IDA AND ASSET-BUILDING COLLABORATIVE OF NORTH CAROLINA, INC.","Raleigh","NC","27609","043728351","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",35.7803977,-78.6390989
"1753","THE LORAIN COUNTY OFFICE ON AGING INC","Elyria","OH","44035","341136543","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",41.3673191,-82.1073583
"1754","THE MOORE WRIGHT GROUP","Aberdeen","WA","98520","815157499","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity",46.975371,-123.815722
"1755","THE ONESTAR NATIONAL SERVICE COMMISSION, INC.","Austin","TX","78702","200445492","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",30.2711286,-97.7436995
"1756","THE OPPORTUNITY ALLIANCE","South Portland","ME","04106","010274725","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",43.6414716,-70.2408811
"1757","THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK","Albany","NY","12207","141368361","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.6511674,-73.754968
"1758","THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK","Oswego","NY","13126","141368361","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families",43.4547284,-76.5095967
"1759","THE SERVICE COLLABORATIVE OF WNY INC","Buffalo","NY","14203","161596462","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",42.8867166,-78.8783922
"1760","THE STUDENT CONSERVATION ASSOCIATION, INC.","Arlington","VA","22201","910880684","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",38.8903961,-77.0841585
"1761","THE WRIGHT CENTER MEDICAL GROUP","Scranton","PA","18505","232772504","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.4086874,-75.6621294
"1762","TIDES CENTER","San Francisco","CA","94129","943213100","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.7792588,-122.4193286
"1763","TINKERS CREEK WATERSHED PARTNERS INC","Twinsburg","OH","44087","205465233","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",41.3125552,-81.4401129
"1764","TNTP, INC.","New York","NY","10018","133850158","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.7127281,-74.0060152
"1765","TPMG CORP","San Juan","PR","00923","660893113","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services",18.465299,-66.116666
"1766","TRI VALLEY OPPORTUNITY COUNCIL INC","Crookston","MN","56716","410888488","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",47.7739988,-96.6081167
"1767","TRI-COUNTY COMMUNITY ACTION PROGRAM, INC. (TRI-COUNTY CAP)","Berlin","NH","03570","020267404","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",44.4688795,-71.1836547
"1768","TRI-COUNTY OPPORTUNITIES COUNCIL","Rock Falls","IL","61071","362559180","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.7816248,-89.6926018
"1769","TROUP COUNTY BOARD OF HEALTH","LaGrange","GA","30240","586000370","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",33.039291,-85.0313269
"1770","TRUEVINE BAPTIST CHURCH","Albuquerque","NM","87105","386152811","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",35.0841034,-106.650985
"1771","Tacoma Community Boat Builders","Tacoma","WA","98421","461724422","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",47.2455013,-122.438329
"1772","Talisman Therapeutic Riding, Inc","Grasonville","MD","21638","454204697","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",38.9581686,-76.2102288
"1773","Teach Kentucky, Inc.","Louisville","KY","40204","204009920","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.2542376,-85.759407
"1774","Teach Western Mass Inc.","Springfield","MA","01109","813839008","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.1018764,-72.5886727
"1775","TeachTeam NFP","Lexington","IL","61753","822469296","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.6414237,-88.7834001
"1776","Tech Goes Home Incorporated","Boston","MA","02116","208629591","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",42.3554334,-71.060511
"1777","Technovation","Menlo Park","CA","94025","208386654","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",37.4519671,-122.177992
"1778","Teens Run DC","Washington","DC","20003","274735172","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",38.8950368,-77.0365427
"1779","Telespond Senior Services Inc","Scranton","PA","18505","237353444","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.4086874,-75.6621294
"1780","Tennessee Opportunity Programs Inc","Sparta","TN","38583","237292125","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",35.9258921,-85.4641342
"1781","Tennessee Respite Coalition","Nashville","TN","37214","030512876","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",36.1622767,-86.7742984
"1782","Tennessee Wesleyan University","Athens","TN","37303","620476661","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",35.4428864,-84.5930113
"1783","TerraCorps, Inc.","Lowell","MA","01852","823881519","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",42.6414437,-71.3085329
"1784","Teton Science Schools, Inc","Jackson","WY","83001","830219163","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",43.479965,-110.761815
"1785","Texas Lutheran University","Seguin","TX","78155","741109748","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",29.5688411,-97.9647269
"1786","Texas Southmost College District","Brownsville","TX","78520","746002593","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",25.9024289,-97.4981698
"1787","Texas Tech University Health Sciences Center","Lubbock","TX","79430","752668014","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",33.5855677,-101.8470215
"1788","Texas Tribal Buffalo Project","Waelder","TX","78959","853887724","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",29.6939876,-97.2977037
"1789","Texoma Council of Governments","Sherman","TX","75090","751292195","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",33.6398609,-96.6089146
"1790","Thames Valley Council for Community Action, Inc.","Jewett City","CT","06351","060806128","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",41.6067651,-71.9809081
"1791","The Albuquerque Sign Language Academy","Albuquerque","NM","87107","271007207","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.0841034,-106.650985
"1792","The American National Red Cross","Washington","DC","20006","530196605","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services",38.8950368,-77.0365427
"1793","The Arc of United States, Inc.","Washington","DC","20006","135642032","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.8950368,-77.0365427
"1794","The Archaeological Research Institute","Lawrenceburg","IN","47025","842053906","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",39.090891,-84.8499504
"1795","The Arts of Life","Chicago","IL","60612","364284473","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.8755616,-87.6244212
"1796","The Ben Johnson Educational Center","Natchitoches","LA","71457","474073505","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",31.7606732,-93.0860209
"1797","The Carrie Meek Foundation Inc","Opa Locka","FL","33054","352159943","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",25.9023168,-80.2503271
"1798","The Center in Hollywood (formerly The Center at Blessed Sacrament)","Hollywood","CA","90028","203022534","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",34.0980031,-118.329523
"1799","The Chattanooga Hamilton County Public Education Fund","Chattanooga","TN","37404","621356764","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.0457219,-85.3094883
"1800","The Chicago Tool Library Co","Chicago","IL","60624","833111020","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.8755616,-87.6244212
"1801","The Chippewa Cree Tribe Of The Rocky Boy Reservation","Box Elder","MT","59521","810242827","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",48.3013555,-109.994226630268
"1802","The Christian City, Inc.","Union City","GA","30291","580917609","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.5870558,-84.5424299
"1803","The DREAM Program, Inc.","East Fairfield","VT","05448","260030908","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",44.7844926,-72.8584673
"1804","The Evangelical Lutheran Good Samaritan Society","Sioux Falls","SD","57108","450228055","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",43.5476008,-96.7293629
"1805","The Food Bank for Central & Northeast Missouri","Columbia","MO","65202","431238934","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",38.951883,-92.3337366
"1806","The Food Bank for Central & Northeast Missouri, Inc","Columbia","MO","65202","431238934","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.951883,-92.3337366
"1807","The Great Basin Institute","Reno","NV","89511","880431016","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Environmental Stewardship",39.5261206,-119.8126581
"1808","The HAP Foundation, Inc.","Oakbrook Terrace","IL","60181","363820916","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",41.8500302,-87.9645077
"1809","The Health Federation of Philadelphia","Philadelphia","PA","19109","232244355","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.9527237,-75.1635262
"1810","The Helping Hand of Goodwill Industries","Kansas City","MO","64108","431125281","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.100105,-94.5781416
"1811","The Highland Center Corporation","Shreveport","LA","71104","272489481","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",32.5135356,-93.7477839
"1812","The Immigration Project","Normal","IL","61761","431700482","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.5092961,-88.9843937
"1813","The Institute for Diversity and Inclusion in Emergency Management","College Park","GA","30337","832976401","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services",33.6534427,-84.4493725
"1814","The Iowa Children's Museum","Coralville","IA","52241","421461422","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.6759977,-91.580705
"1815","The Jackson Zoo","Jackson","MS","39209","64-0734103","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Urban/Rural Development",32.2998686,-90.1830408
"1816","The Johns Hopkins University","Baltimore","MD","21218","520595110","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.2908816,-76.610759
"1817","The Just One Project","Las Vegas","NV","89108","472348577","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",36.1672559,-115.148516
"1818","The Learning Source","Lakewood","CO","80226","840585638","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7085736,-105.0846694
"1819","The Legacy Link, Inc.","Oakwood","GA","30566","582317890","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.227602,-83.8843455
"1820","The Maryland Book Bank","Unusable Addr","MD","Unusable Addr","46-2714742","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Urban/Rural Development",NA,NA
"1821","The Maryland Institute","Baltimore","MD","21217","520591661","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.2908816,-76.610759
"1822","The Mental Health Association of Oregon","Portland","OR","97232","931012686","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",45.5202471,-122.674194
"1823","The Mentoring Project","Seattle","WA","98109","880882247","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",47.6038321,-122.330062
"1824","The Ministry Center","Conway","AR","72032","463656474","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",35.0891932,-92.4398402
"1825","The Modern Maturity Center Inc","Dover","DE","19904","510108568","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",39.158168,-75.5243682
"1826","The Multicultural Health Institute","Sarasota","FL","34234","680384071","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",27.3365805,-82.5308545
"1827","The New York Immigration Coalition, Inc.","New York","NY","10001","133573409","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",40.7127281,-74.0060152
"1828","The Ohio Historical Society","Columbus","OH","43211","314389673","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.9622601,-83.0007065
"1829","The Palm Beach County Literacy Coalition, Inc.","Boynton Beach","FL","33426","650169781","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",26.5256179,-80.0666026
